Scheduler Policy,Cluster target,SM target,Fault ID
TwoLevelRoundRobin,0,0,0
GlobalRoundRobin,0,0,0
Greedy,0,0,0
DistributedCTA,0,0,0
DistributedBlock,0,0,0
TwoLevelRoundRobin,0,0,1
GlobalRoundRobin,0,0,1
Greedy,0,0,1
DistributedCTA,0,0,1
DistributedBlock,0,0,1
TwoLevelRoundRobin,0,0,2
GlobalRoundRobin,0,0,2
Greedy,0,0,2
DistributedCTA,0,0,2
DistributedBlock,0,0,2
TwoLevelRoundRobin,0,0,3
GlobalRoundRobin,0,0,3
Greedy,0,0,3
DistributedCTA,0,0,3
DistributedBlock,0,0,3
TwoLevelRoundRobin,0,0,4
GlobalRoundRobin,0,0,4
Greedy,0,0,4
DistributedCTA,0,0,4
DistributedBlock,0,0,4
TwoLevelRoundRobin,0,0,5
GlobalRoundRobin,0,0,5
Greedy,0,0,5
DistributedCTA,0,0,5
DistributedBlock,0,0,5
TwoLevelRoundRobin,0,0,6
GlobalRoundRobin,0,0,6
Greedy,0,0,6
DistributedCTA,0,0,6
DistributedBlock,0,0,6
TwoLevelRoundRobin,0,0,7
GlobalRoundRobin,0,0,7
Greedy,0,0,7
DistributedCTA,0,0,7
DistributedBlock,0,0,7
TwoLevelRoundRobin,0,0,8
GlobalRoundRobin,0,0,8
Greedy,0,0,8
DistributedCTA,0,0,8
DistributedBlock,0,0,8
TwoLevelRoundRobin,0,0,9
GlobalRoundRobin,0,0,9
Greedy,0,0,9
DistributedCTA,0,0,9
DistributedBlock,0,0,9
TwoLevelRoundRobin,0,0,10
GlobalRoundRobin,0,0,10
Greedy,0,0,10
DistributedCTA,0,0,10
DistributedBlock,0,0,10
TwoLevelRoundRobin,0,0,11
GlobalRoundRobin,0,0,11
Greedy,0,0,11
DistributedCTA,0,0,11
DistributedBlock,0,0,11
TwoLevelRoundRobin,0,0,12
GlobalRoundRobin,0,0,12
Greedy,0,0,12
DistributedCTA,0,0,12
DistributedBlock,0,0,12
TwoLevelRoundRobin,0,0,13
GlobalRoundRobin,0,0,13
Greedy,0,0,13
DistributedCTA,0,0,13
DistributedBlock,0,0,13
TwoLevelRoundRobin,0,0,14
GlobalRoundRobin,0,0,14
Greedy,0,0,14
DistributedCTA,0,0,14
DistributedBlock,0,0,14
TwoLevelRoundRobin,0,0,15
GlobalRoundRobin,0,0,15
Greedy,0,0,15
DistributedCTA,0,0,15
DistributedBlock,0,0,15
TwoLevelRoundRobin,0,0,16
